step,position_x,position_y,position_z,rotation_x,rotation_y,rotation_z,linear_velocity_x,linear_velocity_y,linear_velocity_z,angular_velocity_x,angular_velocity_y,angular_velocity_z
0,0.0,0.0,5.062609469486573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,5.062605857849121,-1.144408900977112e-09,2.326965287124949e-08,2.6631609218726665e-18,4.6793216003371274e-12,2.301305305173196e-13,-0.00020109117031097412,-9.98685134590005e-10,2.0306604398001582e-08,1.3943575136292024e-17
2,9.12232650529532e-11,4.486387823743332e-12,5.06259822845459,-1.1436505034609911e-09,1.3284684485803666e-07,1.6000691175159887e-05,4.612673354387198e-09,2.246898223035032e-10,-0.00038771331310272217,-2.4529619654933832e-11,5.478859293361893e-06,0.0008000345551408827
3,7.032885385171994e-10,1.3464924487893715e-11,5.062587261199951,3.953831745322874e-10,4.801274702259661e-07,6.303064581257797e-05,3.087057010020544e-08,4.4677780919322174e-10,-0.0005566775798797607,7.623098952080909e-08,1.736402919050306e-05,0.0023514979984611273
4,3.1979430215045568e-09,2.1011829429151696e-11,5.062572956085205,2.39038261098171e-09,1.2789250114497719e-06,0.0001551921447200644,1.256353385770126e-07,3.5630076666848254e-10,-0.000705718994140625,9.569705383682958e-08,3.993988866568543e-05,0.004608075600117445
5,1.0707836395340564e-08,1.9963284497714895e-11,5.062556266784668,-1.8320334761086667e-09,2.7663236850106188e-06,0.00030570482829669345,3.777999211251881e-07,-1.6569107197383914e-10,-0.0008333325968123972,-2.263423510839857e-07,7.43699274607934e-05,0.007525634951889515
6,2.9066949736034076e-08,2.941661150779318e-11,5.062537670135498,-2.060526194957915e-08,5.179124827225934e-06,0.0005269473645373005,9.228176054421056e-07,8.29449096212409e-12,-0.0009387136669829488,-9.826084124142653e-07,0.00012063995382050052,0.011062129400670528
7,6.774031646727963e-08,1.3039533341974163e-10,5.062517166137695,-7.103260237138694e-08,8.736210478588191e-06,0.0008304976523518306,1.9425970094744116e-06,3.5155935940167637e-09,-0.0010215790243819356,-2.6269674435752677e-06,0.00017785363888833672,0.015177514404058456
8,1.4068375264741917e-07,5.384817591824742e-10,5.062495708465576,-1.723590756924488e-07,1.3627154719086931e-05,0.0012271705693152916,3.661941718746675e-06,1.6115127010607466e-08,-0.0010821375763043761,-5.288098691380583e-06,0.00024454487720504403,0.019833654165267944
9,2.6708869427238824e-07,1.6883781039922496e-09,5.062473297119141,-3.473670036093784e-07,2.0004087095903955e-05,0.0017270553745278583,6.342762389976997e-06,4.6968708034000883e-08,-0.001120910281315446,-9.170691555482335e-06,0.00031884017516858876,0.024994246661663055
10,4.7198005859172554e-07,4.3367718305376e-09,5.062450408935547,-6.241767026855463e-07,2.7978602828104826e-05,0.0023395503797736944,1.0276714419887867e-05,1.091625065896551e-07,-0.0011387618724256754,-1.457521921111038e-05,0.0003987111267633736,0.030624765902757645
11,7.86654481998994e-07,9.691307312209574e-09,5.062427520751953,-1.0342723549764006e-06,3.7619133183675046e-05,0.00307339673745332,1.5777239241288044e-05,2.2054533133086807e-07,-0.001136734732426703,-2.17082542803837e-05,0.0004819961031898856,0.036692339926958084
12,1.2489487062339322e-06,1.9558465069735576e-08,5.062405109405518,-1.6086606326126927e-06,4.8952166397331354e-05,0.003936711289948896,2.3171116481535137e-05,4.0415397961623967e-07,-0.001116185332648456,-3.058787478948943e-05,0.0005665948847308755,0.04316573590040207
13,1.9033418539038394e-06,3.649551416629038e-08,5.062383651733398,-2.3782727273460774e-06,6.19642323851366e-05,0.004937016360372163,3.279027441749349e-05,6.87870283400116e-07,-0.001078425208106637,-4.125435225432739e-05,0.0006505034980364144,0.05001526325941086
14,2.800899892463349e-06,6.396808061026604e-08,5.062363147735596,-3.368691505489899e-06,7.660461484881864e-05,0.00608127164333922,4.496394831221551e-05,1.104142484109616e-06,-0.0010249133920297027,-5.348489139578305e-05,0.0007318549905903637,0.05721278116106987
15,3.9990718505578116e-06,1.0649232251580543e-07,5.062344074249268,-4.6059775690816005e-06,9.27900201632692e-05,0.0073759008007416305,6.001149085932411e-05,1.6886874618649017e-06,-0.0009572450071573257,-6.734687485732138e-05,0.0008090118644759059,0.06473147869110107
16,5.561357738770312e-06,1.6978401617961936e-07,5.062326431274414,-6.109956290438781e-06,0.00011040721902122463,0.008826819824158068,7.823604391887784e-05,2.4803287033137167e-06,-0.0008769548148848116,-8.256951696239412e-05,0.0008804709650576115,0.07254597544670105
17,7.556855052825995e-06,2.608872762266401e-07,5.062310695648193,-7.892103473405491e-06,0.00012931871096255598,0.010439464498165867,9.991855040425435e-05,3.5195369036955526e-06,-0.0007855314761400223,-9.877212869469076e-05,0.0009450101060792804,0.08063224703073502
18,1.0059708984044846e-05,3.88273520002258e-07,5.0622968673706055,-9.95955896676599e-06,0.00014936618131344837,0.01221880944177921,0.00012531342508736998,4.846598130825441e-06,-0.0006846002070233226,-0.00011576963879633695,0.0010015787556767464,0.0889672264456749
19,1.3148479411029257e-05,5.619252192445856e-07,5.062285423278809,-1.2314206570699198e-05,0.00017037510369410924,0.014169398793277745,0.00015464413445442915,6.500574727397179e-06,-0.0005755756283178926,-0.00013332447269931436,0.0010493596782907844,0.09752945601940155
20,1.6905443771975115e-05,7.933997494546929e-07,5.062276363372803,-1.4946781933990626e-05,0.00019215978746855988,0.016295366156345914,0.00018810026813298464,8.51814456837019e-06,-0.00045996258268132806,-0.00015089710359461606,0.0010877861641347408,0.10629834234714508
21,2.1415851733763702e-05,1.0958480061162845e-06,5.062269687652588,-1.7844739987394918e-05,0.00021452579719505316,0.01860045565972413,0.00022583542158827186,1.093131231755251e-05,-0.0003391763602849096,-0.0001683339214650914,0.001116410014219582,0.11525444686412811
22,2.676714393601287e-05,1.4840182984698913e-06,5.062265396118164,-2.0989026168040372e-05,0.0002372744583956088,0.02108804454848587,0.0002679652825463563,1.3766702977591194e-05,-0.00021443833247758448,-0.00018531161185819656,0.0011350176064297557,0.12437944114208221
23,3.30481598211918e-05,1.974230144696776e-06,5.062263488769531,-2.4353909504749968e-05,0.0002602056115770246,0.02376115995618127,0.0003145672963000834,1.7044296328094788e-05,-8.71342490427196e-05,-0.00020148968906141818,0.0011435283813625574,0.13365575671195984
24,4.034833182231523e-05,2.5843173716566525e-06,5.062264442443848,-2.7910979779202403e-05,0.0002831209941214219,0.02662250178762054,0.00036567970528267324,2.077610588457901e-05,4.167836959823035e-05,-0.0002167196071241051,0.0011420308146625757,0.1430671513080597
25,4.87568904645741e-05,3.3335531952616293e-06,5.062267780303955,-3.162167977749177e-05,0.00030582649560173536,0.029674459804473086,0.0004213022766634822,2.496576234989334e-05,0.00017085227591451257,-0.00023047075956128538,0.001130730495788157,0.15259788930416107
26,5.8362085837870836e-05,4.242528575559845e-06,5.062273979187012,-3.5448107733096224e-05,0.0003281340865115556,0.03291912054756721,0.0004813973791897297,2.96066609735135e-05,0.0002993147645611316,-0.00024274594034068286,0.00110993767157197,0.16223308444023132
27,6.925043271621689e-05,5.3330231821746565e-06,5.062282562255859,-3.9348955948341776e-05,0.00034986419756122267,0.03635829910686042,0.000545890536159277,3.4682198020163924e-05,0.00042615699931047857,-0.0002533361257519573,0.0010800737654790282,0.1719588339328766
28,8.150599023792893e-05,6.6278544181841426e-06,5.062293529510498,-4.3279180514320895e-05,0.00037084720335678334,0.03999353764136382,0.0006146726664155722,4.016536695417017e-05,0.0005505000590346754,-0.0002620100858621299,0.0010416406439617276,0.18176205456256866
29,9.520969615550712e-05,8.150701432896312e-06,5.062306880950928,-4.719731435473234e-05,0.0003909246300717317,0.04382614823202932,0.0006876007537357509,4.601811815518886e-05,0.0006716428906656802,-0.000268895790213719,0.0009952025720849633,0.1916304975748062
30,0.00011043871199944988,9.925930498866364e-06,5.062322616577148,-5.105633083612408e-05,0.00040994944827654756,0.04785718833705913,0.0007645018049515784,5.219257582211867e-05,0.0007888260297477245,-0.0002736594178713858,0.0009413373772986233,0.20155198872089386
31,0.00012726585555355996,1.1978389920841437e-05,5.06234073638916,-5.481350080263935e-05,0.000427788429412157,0.052087500169161874,0.0008451736648567021,5.8629993873182684e-05,0.0009013933595269918,-0.00027645553927868605,0.000880751118529588,0.2115156650543213
32,0.00014575908426195383,1.4333208127936814e-05,5.062360763549805,-5.842620325536626e-05,0.0004443212266214136,0.056517725055766604,0.0009293878683820367,6.526205106638372e-05,0.001008853199891746,-0.0002772262378130108,0.0008140958962030709,0.22151118516921997
33,0.00016598099318798631,1.7015581761370413e-05,5.06238317489624,-6.185834478817014e-05,0.00045944118615981466,0.06114830263899413,0.001016891677863896,7.201112020993605e-05,0.0011107875034213066,-0.00027623053756542504,0.0007420733454637229,0.2315288782119751
34,0.0001879884221125394,2.00505783141125e-05,5.062407493591309,-6.507492549639024e-05,0.00047305524176954883,0.06597948653667403,0.0011074114590883255,7.879191252868623e-05,0.0012067337520420551,-0.00027345496346242726,0.0006653707241639495,0.24155938625335693
35,0.00021183206990826875,2.346293331356719e-05,5.062433242797852,-6.80429914309058e-05,0.00048508434314920024,0.07101136267866855,0.001200654893182218,8.551211067242548e-05,0.0012963485205546021,-0.0002689339453354478,0.0005847072461619973,0.2515936493873596
36,0.0002375562471570447,2.727683931880165e-05,5.062460899353027,-7.073617287093969e-05,0.0004954629671596322,0.0762438327306401,0.0012963140616193414,9.2073212726973e-05,0.0013792742975056171,-0.0002629259543027729,0.0005007746513001621,0.26162341237068176
37,0.00026519858511164784,3.151576311211102e-05,5.062489986419678,-7.313256692410219e-05,0.0005041391596440903,0.08167666089940763,0.001394067076034844,9.837198740569875e-05,0.0014553318032994866,-0.000255586055573076,0.0004142701218370348,0.27164119482040405
38,0.0002947898465208709,3.6202254705131054e-05,5.062520503997803,-7.521343492556103e-05,0.000511074045495441,0.087309471244546,0.0014935802901163697,0.00010430164547869936,0.0015244445530697703,-0.00024700618814677,0.0003258498036302626,0.28164002299308777
39,0.00032635379466228187,4.1357779991813004e-05,5.062552452087402,-7.696462946448449e-05,0.0005162405906975476,0.0931417215373731,0.0015945129562169313,0.00010975329496432096,0.001586404861882329,-0.00023734844580758363,0.00023613816301804036,0.2916127145290375
40,0.0003599071642383933,4.700254794443026e-05,5.062585353851318,-7.837665237078526e-05,0.0005196244422109864,0.09917278093738248,0.001696516410447657,0.00011461661051725969,0.0016411506803706288,-0.000226785137783736,0.0001457681501051411,0.30155330896377563
41,0.00039545955951325595,5.3155363275436684e-05,5.062619209289551,-7.944765016089164e-05,0.0005212220545163238,0.10540189563203932,0.0017992405919358134,0.00011878163786605,0.0016886834055185318,-0.0002156384871341288,5.530357884708792e-05,0.3114556074142456
42,0.0004330134834162891,5.9833484556293115e-05,5.062653541564941,-8.018015640075387e-05,0.0005210406090796482,0.11182819023244774,0.0019023295026272535,0.00012213985610287637,0.0017290891846641898,-0.0002040718827629462,-3.471738818916492e-05,0.32131463289260864
43,0.0004725644248537719,6.705252599203959e-05,5.062688827514648,-8.057735564135732e-05,0.0005190976231244093,0.11845067962543085,0.002005430869758129,0.00012458630953915417,0.0017622346058487892,-0.0001920673530548811,-0.00012376783706713468,0.3311242461204529
