step,position_x,position_y,position_z,rotation_x,rotation_y,rotation_z,linear_velocity_x,linear_velocity_y,linear_velocity_z,angular_velocity_x,angular_velocity_y,angular_velocity_z
0,0.0,0.0,5.062609672546387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,5.062605857849121,0.0,2.307891655561889e-08,0.0,0.0,0.0,-0.00020106136798858643,0.0,1.1539458455445128e-06,0.0
2,9.047552984586815e-11,0.0,5.06259822845459,1.3355123591909115e-09,1.276969818775342e-07,1.6000676623405894e-05,4.523776464537832e-09,0.0,-0.00038771331310272217,6.673376873322923e-08,5.23090420756489e-06,0.0008000338566489518
3,6.816025521771962e-10,-5.228026345172054e-12,5.062587261199951,3.7282786768605876e-09,4.7111506851216234e-07,6.303061670953084e-05,2.95563520325004e-08,-2.614013172586027e-10,-0.0005566775798797607,1.189597966799738e-07,1.7170908904518e-05,0.0023514970671385527
4,3.1199820504923537e-09,-2.4958271560571177e-11,5.062572956085205,4.743251092358375e-09,1.266765566887429e-06,0.00015519210106579466,1.2191897269531182e-07,-9.865123162811074e-10,-0.0007056891918182373,4.640789441623383e-08,3.978252789238468e-05,0.00460807466879487
5,1.0525918803239165e-08,-6.251800466205992e-11,5.062556266784668,-4.385737206546408e-10,2.751685382218483e-06,0.0003057047700909645,3.7029684563094634e-07,-1.8779866550744373e-09,-0.0008333027362823486,-2.762011206414172e-07,7.424592331517488e-05,0.00752563402056694
6,2.8723668776819977e-08,-9.505858600267203e-11,5.062537670135498,-2.0271596329255648e-08,5.162627869648162e-06,0.0005269473063306749,9.098874897972564e-07,-1.6270291780529078e-09,-0.0009386837482452393,-1.0418380043120123e-06,0.00012054669787175953,0.011062128469347954
7,6.717097278396977e-08,-3.741656290356943e-11,5.062517166137695,-7.132681379929582e-08,8.718234437044003e-06,0.0008304975941435324,1.9223650724597974e-06,2.882101224344069e-09,-0.0010215342044830322,-2.6734232960734516e-06,0.00017777855100575835,0.015177513472735882
8,1.3981781421534833e-07,3.28428256812785e-10,5.062495708465576,-1.7161520804880443e-07,1.3608024858280388e-05,0.0012271705693220015,3.6323424410511507e-06,1.829224238747429e-08,-0.0010820478200912476,-5.265955678623868e-06,0.00024448425392620265,0.019833646714687347
9,2.6585112777866016e-07,1.433072993606288e-09,5.062473297119141,-3.46514458942112e-07,1.9984213894375102e-05,0.0017270554909550983,6.301665962382685e-06,5.523223478576256e-08,-0.0011208057403564453,-9.215868885803502e-06,0.0003187961410731077,0.024994241073727608
